"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-pl-pl-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","44","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-zh-hans-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","174","iagCfdInstrument page | fyLink | fyLink","chromium-SCB-mn-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","69","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-de-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7977","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-en-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","62","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-ar-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","8567","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-vi-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9699","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-en-eu-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","160","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-fr-fr-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7319","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-fr-fr-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","46","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-nl-nl-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","49","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-it-it-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","123","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-de-de-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9604","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-en-eu-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","167","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-pl-pl-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7913","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-ar-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","7933","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-en-eu-unauthorised","2026-08-12","passed","2026-08-12","","cta/generated.cta.spec.js","",""
"","140","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-ar-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7728","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-en-eu-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","134","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-de-at-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","53","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-de-de-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","42","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-hu-hu-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","133","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-vi-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","9601","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-en-eu-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","36","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-fr-fr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7522","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-el-gr-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","123","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-nl-nl-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7488","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-pl-pl-unauthorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","46","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-fr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","39","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-el-gr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","44","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-nl-nl-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","164","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-it-it-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","61","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-nl-nl-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","8086","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-FCA-en-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","67","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-zh-hant-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","45","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-de-de-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7546","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-en-eu-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","126","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-fr-fr-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","47","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-el-gr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","156","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-de-de-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","132","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-hu-hu-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","66","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-el-gr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","38","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-it-it-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","47","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-mn-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","45","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-hu-hu-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","172","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-zh-hant-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","176","iagCfdInstrument page | fyLink | fyLink","chromium-SCB-zh-hant-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","52","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-mn-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","46","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-es-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","59","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CySEC-fr-fr-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","134","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-nl-nl-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","48","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-pl-pl-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","50","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-ro-ro-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","8349","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-vi-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","30061","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-ru-unauthorised","2026-08-12","broken","2026-08-12","","cta/generated.cta.spec.js","",""
"","168","projectedEcbRateRiseIn5Years page | projectedUSInterestRatesLink | projectedUSInterestRatesLink","chromium-SCB-zh-hans-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","42","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-de-at-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","138","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-de-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","38","iagCfdInstrument page | fyLink | fyLink","chromium-CySEC-el-gr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","52","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-CySEC-hu-hu-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","43","helpCentreMyAccount page | socialMediaMyAccountBlock | twitterIcon","chromium-CySEC-de-at-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","65","helpCentreMyAccount page | socialMediaMyAccountBlock | facebookIcon","chromium-CMA-ar-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","131","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-pl-pl-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","43","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-de-de-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","41","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-de-at-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","44","rollsRoycePrice page | yahooFinanceUKLink | yahooFinanceUKLink","chromium-SCB-de-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","7865","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-SCB-ru-unregistered","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","7275","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CMA-en-authorised","2026-08-12","failed","2026-08-12","","cta/generated.cta.spec.js","",""
"","135","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-el-gr-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","46","helpCentreMyAccount page | socialMediaMyAccountBlock | youtubeIcon","chromium-CySEC-fr-fr-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","8285","tradeBitcoin page | tradePolkadotSharesLink | tradePolkadotSharesLink","chromium-CySEC-ro-ro-unauthorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","47","helpCentreMyAccount page | socialMediaMyAccountBlock | instagramIcon","chromium-CySEC-ro-ro-unregistered","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
"","129","helpCentreMyAccount page | socialMediaMyAccountBlock | linkedinIcon","chromium-CySEC-el-gr-authorised","2026-08-12","skipped","2026-08-12","","cta/generated.cta.spec.js","",""
