"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9093","forex page | tradingInstrument | tradedBtn","chromium-SCB-mn-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7913","indices page | tradingInstrument | alertBtn","chromium-SCB-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7522","commodities page | tradingInstrument | readyToJoinSignUpBtn","chromium-CMA-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","8238","shares page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-pl-pl-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7354","indices page | tradingInstrument | alertBtn","chromium-CySEC-pl-pl-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7453","commodities page | tradingInstrument | sellBtn","chromium-CySEC-nl-nl-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7454","forex page | tradingInstrument | sellBtn","chromium-CySEC-fr-fr-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9133","cryptocurrencies page | tradingInstrument | tradedBtn","chromium-CySEC-hu-hu-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7310","commodities page | tradingInstrument | viewDetailedChartBtn","chromium-CMA-ar-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7382","indices page | tradingInstrument | longPositionGoToPlatformBtn","chromium-CySEC-it-it-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7418","forex page | tradingInstrument | sellBtn","chromium-SCB-mn-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7215","bonds page | tradingInstrument | viewDetailedChartBtn","chromium-SCB-vi-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7344","cryptocurrencies page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-el-gr-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7588","commodities page | tradingInstrument | sellBtn","chromium-SCB-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7506","shares page | tradingInstrument | longPositionGoToPlatformBtn","chromium-CMA-en-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9270","indices page | tradingInstrument | tradedBtn","chromium-CySEC-de-at-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7600","interestRates page | tradingInstrument | longPositionGoToPlatformBtn","chromium-CySEC-en-eu-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9243","forex page | tradingInstrument | tradedBtn","chromium-CySEC-it-it-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7554","marketAnalysis page | mostTradedMarketsBlock | tradedBtn","chromium-SCB-ru-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7239","interestRates page | tradingInstrument | readyToJoinSignUpBtn","chromium-SCB-es-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6504","bonds page | heroBanner | signupBtn","chromium-CySEC-pl-pl-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7253","bonds page | heroBanner | signupBtn","chromium-CySEC-fr-fr-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7897","bonds page | tradingInstrument | sellBtn","chromium-SCB-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7132","markets page | tradingInstrument | readyToJoinSignUpBtn","chromium-SCB-mn-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","8044","markets page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-nl-nl-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","3521","indices page | heroBanner | signupBtn","chromium-SCB-zh-hans-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9225","bonds page | tradingInstrument | tradedBtn","chromium-SCB-de-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7525","bonds page | tradingInstrument | sellBtn","chromium-CMA-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7292","bonds page | tradingInstrument | sellBtn","chromium-CySEC-de-at-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6818","interestRates page | heroBanner | signupBtn","chromium-SCB-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9268","indices page | tradingInstrument | tradedBtn","chromium-SCB-zh-hant-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9235","shares page | tradingInstrument | tradedBtn","chromium-CySEC-hu-hu-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","6888","shares page | heroBanner | signupBtn","chromium-CySEC-pl-pl-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7434","interestRates page | tradingInstrument | alertBtn","chromium-CySEC-en-eu-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7545","commodities page | tradingInstrument | buyBtn","chromium-SCB-ar-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7298","markets page | tradingInstrument | addToFavouriteBtn","chromium-CySEC-fr-fr-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","9727","commodities page | tradingInstrument | tradedBtn","chromium-SCB-de-unregistered","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7900","commodities page | tradingInstrument | buyBtn","chromium-SCB-ar-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
"","7296","cryptocurrencies page | tradingInstrument | shortPositionGoToPlatformBtn","chromium-CySEC-it-it-unauthorised","2026-09-14","passed","2026-09-14","","cta/generated.cta.spec.js","",""
